MeasurementType,Src/Initiator,Dst/Switch,Delay
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.015089
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.014835
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.037224
Path,00:00:00:00:00:01,00:00:00:00:00:03,0.058772
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.060279
Path,00:00:00:00:00:03,00:00:00:00:00:02,0.059644
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.007863
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.018883
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.006938
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.016455
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.006641
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.018219
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.007199
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.017219
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.007224
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.017687
Path,00:00:00:00:00:02,00:00:00:00:00:03,0.007176
Path,00:00:00:00:00:03,00:00:00:00:00:01,0.016819
